timestep	evaders	pursuers	evader_capture_status
20	[[10, 16], [20, 6], [3, 19], [6, 34], [25, 19], [38, 16], [12, 25], [19, 19], [15, 16], [14, 30], [33, 26], [26, 31], [28, 13], [33, 37], [5, 23], [35, 6], [29, 21], [25, 7], [29, 31], [21, 15], [4, 5], [21, 29], [30, 5], [26, 27], [17, 25], [10, 5], [14, 22], [22, 23], [8, 28], [18, 34]]	[[37, 16], [0, 24], [5, 18], [0, 35], [16, 16], [37, 14], [31, 21], [33, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
21	[[10, 15], [20, 7], [3, 20], [6, 33], [25, 18], [38, 17], [12, 26], [19, 20], [14, 16], [14, 29], [33, 25], [26, 32], [27, 13], [34, 37], [6, 23], [34, 6], [29, 22], [26, 7], [30, 31], [21, 14], [5, 5], [21, 30], [29, 5], [26, 26], [17, 24], [9, 5], [14, 21], [21, 23], [9, 28], [19, 34]]	[[38, 16], [0, 25], [4, 18], [0, 36], [15, 16], [36, 14], [31, 22], [33, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
22	[[9, 15], [20, 6], [4, 20], [5, 33], [24, 18], [37, 17], [12, 25], [19, 19], [13, 16], [15, 29], [34, 25], [25, 32], [26, 13], [35, 37], [6, 24], [35, 6], [28, 22], [25, 7], [30, 30], [20, 14], [4, 5], [21, 31], [30, 5], [26, 27], [17, 25], [10, 5], [13, 21], [22, 23], [10, 28], [18, 34]]	[[38, 17], [0, 26], [4, 19], [0, 37], [14, 16], [36, 15], [31, 23], [34, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
23	[[9, 14], [20, 7], [4, 21], [6, 33], [24, 17], [37, 18], [12, 24], [18, 19], [13, 17], [15, 30], [35, 25], [25, 33], [25, 13], [35, 38], [6, 25], [34, 6], [27, 22], [26, 7], [31, 30], [19, 14], [5, 5], [20, 31], [29, 5], [25, 27], [18, 25], [9, 5], [14, 21], [21, 23], [10, 29], [18, 35]]	[[37, 17], [0, 27], [4, 20], [1, 37], [13, 16], [36, 16], [32, 23], [35, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
24	[[9, 13], [20, 8], [4, 22], [7, 33], [24, 18], [37, 19], [12, 25], [18, 18], [13, 18], [16, 30], [35, 26], [24, 33], [24, 13], [34, 38], [6, 26], [35, 6], [27, 23], [26, 8], [32, 30], [18, 14], [4, 5], [21, 31], [29, 4], [25, 28], [18, 26], [10, 5], [15, 21], [22, 23], [10, 30], [17, 35]]	[[37, 18], [0, 28], [4, 21], [2, 37], [13, 17], [35, 16], [33, 23], [35, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
25	[[9, 14], [19, 8], [4, 23], [8, 33], [24, 17], [36, 19], [12, 26], [19, 18], [13, 19], [15, 30], [34, 26], [24, 32], [24, 12], [33, 38], [6, 27], [34, 6], [28, 23], [27, 8], [31, 30], [19, 14], [5, 5], [21, 30], [29, 5], [25, 27], [19, 26], [9, 5], [16, 21], [22, 22], [10, 31], [17, 34]]	[[37, 19], [0, 29], [4, 22], [3, 37], [13, 18], [35, 17], [33, 24], [34, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
26	[[8, 14], [19, 9], [4, 24], [8, 34], [24, 16], [36, 20], [12, 25], [18, 18], [13, 20], [16, 30], [35, 26], [25, 32], [24, 11], [33, 37], [6, 28], [35, 6], [28, 22], [26, 8], [30, 30], [19, 13], [4, 5], [20, 30], [29, 4], [26, 27], [18, 26], [10, 5], [17, 21], [21, 22], [11, 31], [17, 35]]	[[36, 19], [0, 30], [4, 23], [4, 37], [13, 19], [35, 18], [33, 25], [33, 38]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
27	[[8, 13], [19, 8], [4, 25], [9, 34], [25, 16], [36, 21], [12, 26], [18, 17], [13, 21], [15, 30], [35, 27], [24, 32], [23, 11], [34, 37], [6, 29], [34, 6], [28, 21], [27, 8], [30, 31], [19, 14], [5, 5], [21, 30], [29, 5], [26, 26], [17, 26], [10, 4], [17, 22], [22, 22], [11, 32], [17, 34]]	[[36, 20], [0, 31], [4, 24], [4, 36], [13, 20], [34, 18], [34, 25], [33, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
28	[[7, 13], [18, 8], [4, 26], [9, 35], [25, 15], [36, 22], [11, 26], [18, 18], [13, 22], [14, 30], [35, 28], [25, 32], [24, 11], [35, 37], [6, 30], [35, 6], [29, 21], [26, 8], [30, 32], [18, 14], [4, 5], [20, 30], [29, 4], [26, 27], [18, 26], [10, 5], [17, 21], [22, 21], [12, 32], [17, 35]]	[[36, 21], [0, 32], [4, 25], [4, 37], [13, 21], [34, 19], [34, 26], [34, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
29	[[6, 13], [18, 9], [4, 27], [9, 34], [26, 15], [36, 23], [11, 27], [19, 18], [13, 23], [15, 30], [35, 29], [24, 32], [23, 11], [35, 38], [6, 31], [34, 6], [29, 22], [27, 8], [30, 31], [18, 13], [5, 5], [21, 30], [29, 5], [25, 27], [18, 25], [10, 6], [18, 21], [23, 21], [12, 33], [17, 34]]	[[36, 22], [0, 33], [4, 26], [4, 36], [13, 22], [34, 20], [34, 27], [35, 37]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
