timestep	evaders	pursuers	evader_capture_status
21	[[9, 18], [18, 5], [3, 20], [7, 32], [12, 21], [27, 16], [10, 26], [8, 21], [3, 9], [9, 30], [28, 24], [19, 33], [38, 20], [30, 31], [6, 21], [32, 8], [30, 21], [29, 4], [22, 31], [15, 18], [1, 9], [19, 30], [33, 5], [16, 30], [12, 29], [6, 10], [7, 26], [11, 27], [5, 28], [13, 34]]	[[13, 25], [0, 25], [4, 18], [0, 36], [3, 8], [37, 19], [38, 19], [23, 33]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
22	[[10, 18], [18, 4], [3, 21], [7, 31], [11, 21], [27, 17], [10, 25], [8, 22], [3, 10], [9, 31], [27, 24], [18, 33], [38, 21], [29, 31], [6, 22], [31, 8], [29, 21], [29, 5], [22, 30], [14, 18], [1, 10], [19, 29], [34, 5], [15, 30], [12, 30], [7, 10], [7, 25], [11, 28], [4, 28], [14, 34]]	[[13, 26], [0, 26], [4, 19], [0, 37], [3, 9], [37, 20], [38, 20], [23, 32]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
23	[[9, 18], [18, 5], [3, 22], [6, 31], [10, 21], [26, 17], [10, 24], [9, 22], [3, 11], [9, 32], [26, 24], [17, 33], [38, 22], [30, 31], [6, 23], [30, 8], [28, 21], [29, 4], [21, 30], [15, 18], [1, 11], [18, 29], [33, 5], [16, 30], [11, 30], [8, 10], [7, 26], [10, 28], [4, 27], [13, 34]]	[[13, 27], [0, 27], [4, 20], [0, 38], [3, 10], [37, 21], [38, 21], [23, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
24	[[9, 17], [17, 5], [3, 23], [5, 31], [11, 21], [26, 16], [11, 24], [8, 22], [3, 12], [9, 33], [25, 24], [17, 34], [38, 23], [29, 31], [7, 23], [29, 8], [27, 21], [29, 5], [20, 30], [14, 18], [1, 12], [18, 28], [34, 5], [15, 30], [11, 31], [9, 10], [8, 26], [10, 29], [5, 27], [13, 35]]	[[12, 27], [0, 28], [4, 21], [1, 38], [3, 11], [37, 22], [38, 22], [22, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
25	[[9, 16], [16, 5], [3, 24], [6, 31], [10, 21], [25, 16], [12, 24], [8, 21], [3, 13], [8, 33], [24, 24], [16, 34], [38, 24], [28, 31], [6, 23], [30, 8], [26, 21], [29, 4], [19, 30], [13, 18], [1, 13], [18, 27], [33, 5], [16, 30], [11, 32], [8, 10], [8, 27], [9, 29], [5, 28], [13, 34]]	[[11, 27], [0, 29], [4, 22], [2, 38], [3, 12], [37, 23], [38, 23], [21, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
26	[[10, 16], [15, 5], [3, 25], [6, 32], [11, 21], [25, 17], [12, 23], [9, 21], [3, 14], [8, 34], [23, 24], [16, 35], [38, 25], [28, 30], [7, 23], [29, 8], [25, 21], [28, 4], [18, 30], [13, 19], [1, 14], [17, 27], [32, 5], [15, 30], [12, 32], [9, 10], [7, 27], [9, 30], [4, 28], [14, 34]]	[[10, 27], [0, 30], [5, 22], [3, 38], [3, 13], [37, 24], [38, 24], [20, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
27	[[10, 15], [14, 5], [3, 26], [6, 33], [11, 22], [25, 16], [13, 23], [9, 20], [3, 15], [9, 34], [22, 24], [15, 35], [38, 26], [28, 29], [7, 24], [28, 8], [26, 21], [27, 4], [17, 30], [14, 19], [1, 15], [16, 27], [31, 5], [15, 31], [12, 33], [9, 9], [7, 28], [8, 30], [5, 28], [14, 35]]	[[10, 28], [0, 31], [6, 22], [4, 38], [3, 14], [37, 25], [38, 25], [19, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
28	[[11, 15], [13, 5], [4, 26], [5, 33], [12, 22], [25, 17], [12, 23], [10, 20], [3, 16], [9, 35], [23, 24], [16, 35], [38, 27], [29, 29], [7, 25], [27, 8], [27, 21], [26, 4], [16, 30], [13, 19], [1, 16], [16, 26], [32, 5], [15, 32], [11, 33], [10, 9], [7, 29], [8, 31], [5, 29], [14, 34]]	[[9, 28], [0, 32], [6, 23], [4, 37], [3, 15], [37, 26], [38, 26], [18, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
29	[[10, 15], [12, 5], [3, 26], [6, 33], [13, 22], [24, 17], [12, 24], [10, 19], [3, 17], [9, 34], [22, 24], [17, 35], [38, 28], [28, 29], [8, 25], [28, 8], [27, 22], [26, 5], [15, 30], [14, 19], [1, 17], [16, 25], [31, 5], [14, 32], [12, 33], [11, 9], [7, 30], [8, 32], [4, 29], [13, 34]]	[[8, 28], [0, 33], [6, 24], [4, 36], [3, 16], [37, 27], [38, 27], [17, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
30	[[10, 14], [13, 5], [3, 27], [5, 33], [12, 22], [24, 18], [11, 24], [9, 19], [3, 18], [9, 35], [21, 24], [16, 35], [38, 29], [27, 29], [9, 25], [27, 8], [26, 22], [25, 5], [14, 30], [15, 19], [1, 18], [17, 25], [30, 5], [13, 32], [11, 33], [10, 9], [6, 30], [9, 32], [4, 30], [13, 35]]	[[8, 29], [0, 34], [7, 24], [5, 36], [3, 17], [37, 28], [38, 28], [16, 31]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
