timestep	evaders	pursuers	evader_capture_status
27	[[12, 15], [20, 9], [4, 27], [6, 33], [23, 28], [36, 1], [17, 29], [18, 31], [13, 7], [13, 34], [37, 3], [20, 34], [31, 11], [32, 32], [7, 30], [25, 9], [28, 5], [24, 5], [25, 34], [15, 24], [15, 5], [35, 24], [30, 8], [27, 33], [23, 32], [15, 11], [12, 31], [25, 31], [9, 34], [18, 35]]	[[35, 25], [0, 31], [5, 25], [4, 38], [12, 7], [29, 5], [36, 3], [36, 4]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
28	[[12, 16], [19, 9], [4, 28], [5, 33], [23, 29], [35, 1], [16, 29], [17, 31], [14, 7], [14, 34], [37, 2], [21, 34], [31, 12], [33, 32], [8, 30], [24, 9], [27, 5], [23, 5], [26, 34], [14, 24], [16, 5], [35, 23], [30, 9], [28, 33], [24, 32], [15, 12], [12, 30], [25, 30], [9, 35], [18, 34]]	[[35, 24], [0, 32], [5, 26], [4, 37], [13, 7], [28, 5], [37, 3], [36, 3]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
29	[[11, 16], [18, 9], [4, 29], [6, 33], [22, 29], [34, 1], [15, 29], [16, 31], [15, 7], [14, 35], [22, 34], [32, 12], [32, 32], [9, 30], [23, 9], [26, 5], [22, 5], [27, 34], [14, 25], [17, 5], [35, 22], [30, 8], [27, 33], [24, 33], [15, 13], [13, 30], [25, 29], [9, 34], [18, 35], [36, 2]]	[[35, 23], [0, 33], [5, 27], [4, 36], [14, 7], [27, 5], [37, 2], [36, 2]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
30	[[11, 15], [19, 9], [5, 29], [5, 33], [22, 30], [34, 2], [15, 28], [17, 31], [16, 7], [14, 34], [21, 34], [32, 13], [32, 33], [9, 31], [23, 10], [25, 5], [21, 5], [27, 35], [14, 26], [18, 5], [35, 21], [31, 8], [26, 33], [24, 32], [16, 13], [12, 30], [26, 29], [10, 34], [18, 34], [36, 2]]	[[35, 22], [0, 34], [5, 28], [5, 36], [15, 7], [26, 5], [37, 1], [35, 2]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
31	[[11, 14], [20, 9], [5, 30], [6, 33], [22, 31], [34, 3], [16, 28], [18, 31], [17, 7], [14, 35], [20, 34], [32, 14], [31, 33], [9, 32], [22, 10], [24, 5], [20, 5], [27, 34], [13, 26], [19, 5], [35, 20], [31, 9], [26, 34], [24, 31], [15, 13], [13, 30], [27, 29], [10, 35], [19, 34], [36, 2]]	[[35, 21], [0, 35], [5, 29], [5, 35], [16, 7], [25, 5], [36, 1], [34, 2]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
32	[[10, 14], [21, 9], [5, 31], [7, 33], [22, 32], [34, 4], [17, 28], [17, 31], [18, 7], [14, 34], [21, 34], [32, 15], [30, 33], [10, 32], [23, 10], [23, 5], [21, 5], [28, 34], [13, 27], [19, 6], [35, 19], [31, 8], [25, 34], [25, 31], [15, 14], [14, 30], [27, 30], [10, 34], [19, 35], [36, 2]]	[[35, 20], [0, 36], [5, 30], [5, 34], [17, 7], [24, 5], [35, 1], [34, 3]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
33	[[9, 14], [22, 9], [6, 31], [7, 34], [21, 32], [34, 5], [18, 28], [18, 31], [18, 8], [15, 34], [20, 34], [31, 15], [31, 33], [11, 32], [23, 11], [23, 6], [20, 5], [29, 34], [13, 26], [20, 6], [35, 18], [31, 9], [26, 34], [25, 30], [15, 15], [13, 30], [27, 29], [10, 35], [19, 34], [36, 2]]	[[35, 19], [0, 37], [5, 31], [6, 34], [18, 7], [23, 5], [35, 2], [34, 4]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
34	[[9, 15], [22, 10], [7, 31], [8, 34], [22, 32], [34, 6], [18, 29], [18, 30], [18, 9], [15, 35], [21, 34], [32, 15], [32, 33], [12, 32], [23, 12], [23, 7], [20, 4], [28, 34], [14, 26], [21, 6], [35, 17], [30, 9], [25, 34], [25, 31], [15, 16], [14, 30], [28, 29], [10, 34], [19, 35], [36, 2]]	[[35, 18], [0, 38], [6, 31], [7, 34], [18, 8], [23, 6], [35, 3], [34, 5]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
35	[[9, 14], [22, 11], [7, 30], [9, 34], [22, 33], [34, 7], [18, 28], [18, 31], [18, 10], [15, 34], [21, 33], [31, 15], [31, 33], [13, 32], [23, 13], [23, 8], [20, 5], [27, 34], [14, 27], [20, 6], [35, 16], [30, 10], [26, 34], [26, 31], [15, 17], [15, 30], [28, 30], [11, 34], [19, 34], [36, 2]]	[[35, 17], [1, 38], [7, 31], [8, 34], [18, 9], [23, 7], [35, 4], [34, 6]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
36	[[9, 15], [22, 12], [7, 29], [9, 33], [23, 33], [34, 8], [18, 29], [19, 31], [18, 11], [16, 34], [20, 33], [31, 14], [31, 34], [13, 33], [23, 14], [24, 8], [20, 4], [28, 34], [13, 27], [19, 6], [35, 15], [30, 11], [25, 34], [26, 30], [15, 18], [16, 30], [29, 30], [12, 34], [19, 35], [36, 2]]	[[35, 16], [2, 38], [7, 30], [9, 34], [18, 10], [23, 8], [35, 5], [34, 7]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
37	[[9, 16], [22, 13], [7, 28], [9, 32], [22, 33], [34, 9], [17, 29], [19, 32], [18, 12], [16, 35], [19, 33], [31, 15], [31, 35], [14, 33], [23, 15], [25, 8], [20, 5], [28, 35], [13, 26], [20, 6], [35, 14], [29, 11], [26, 34], [27, 30], [16, 18], [16, 29], [29, 29], [12, 35], [19, 34], [36, 2]]	[[35, 15], [3, 38], [7, 29], [9, 33], [18, 11], [24, 8], [35, 6], [34, 8]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
38	[[8, 16], [22, 14], [7, 27], [9, 31], [23, 33], [34, 10], [18, 29], [19, 31], [18, 13], [16, 34], [18, 33], [31, 16], [31, 34], [15, 33], [23, 16], [26, 8], [20, 4], [28, 34], [12, 26], [21, 6], [35, 13], [28, 11], [26, 33], [27, 31], [15, 18], [15, 29], [30, 29], [12, 34], [19, 35], [36, 2]]	[[35, 14], [4, 38], [7, 28], [9, 32], [18, 12], [25, 8], [35, 7], [34, 9]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
39	[[7, 16], [21, 14], [7, 26], [9, 30], [22, 33], [33, 10], [17, 29], [20, 31], [18, 14], [17, 34], [17, 33], [30, 16], [30, 34], [15, 32], [23, 17], [27, 8], [20, 5], [29, 34], [12, 25], [22, 6], [35, 12], [29, 11], [25, 33], [27, 30], [15, 17], [15, 30], [31, 29], [11, 34], [20, 35], [36, 2]]	[[35, 13], [5, 38], [7, 27], [9, 31], [18, 13], [26, 8], [35, 8], [34, 10]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
40	[[7, 17], [22, 14], [7, 25], [9, 29], [22, 34], [32, 10], [18, 29], [21, 31], [18, 15], [17, 35], [18, 33], [30, 17], [31, 34], [15, 33], [23, 18], [28, 8], [20, 4], [28, 34], [13, 25], [23, 6], [36, 12], [30, 11], [24, 33], [27, 31], [15, 18], [16, 30], [31, 30], [11, 35], [20, 34], [36, 2]]	[[35, 12], [5, 37], [7, 26], [9, 30], [18, 14], [27, 8], [34, 8], [33, 10]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
41	[[7, 18], [23, 14], [7, 24], [9, 28], [23, 34], [31, 10], [17, 29], [21, 30], [18, 16], [16, 35], [19, 33], [29, 17], [30, 34], [14, 33], [23, 17], [29, 8], [20, 5], [28, 35], [13, 24], [24, 6], [36, 11], [29, 11], [25, 33], [26, 31], [15, 19], [17, 30], [30, 30], [11, 34], [20, 35], [36, 2]]	[[36, 12], [4, 37], [7, 25], [9, 29], [18, 15], [28, 8], [33, 8], [32, 10]]	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
