epoch	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	loss_value_pursuer	loss_policy_pursuer	epoch_time_s
145	2.187499999999888	0.0	0.0	21.0	0.7	500.0	18.819836565337546	-0.01813673798541626	1.4295201301574707
146	0.5625000000000069	0.0	2.0	22.0	0.7333333333333333	500.0	28.351199842381977	-0.03727073071384781	1.4514951705932617
147	-4.1874999999999565	0.0	4.0	21.0	0.7	500.0	19.368687550337054	-0.02097434107099586	1.4400908946990967
148	-2.6125000000001015	2.0	2.0	22.0	0.7333333333333333	500.0	22.489695302769956	-0.042996185159538576	1.4299492835998535
149	-7.812499999999957	0.0	4.0	18.0	0.6	500.0	11.332772090510527	-0.011736372388858256	1.4315552711486816
150	-21.112500000000193	2.0	10.0	17.0	0.5666666666666667	500.0	47.03091964358598	0.02045389968498737	1.5342295169830322
151	-27.22500000000018	0.0	16.0	17.0	0.5666666666666667	500.0	85.88867265631288	-0.030124016743190554	1.458061933517456
152	-15.825000000000161	0.0	12.0	21.0	0.7	500.0	51.978204172667056	-0.008482832636515454	1.411839485168457
153	-0.5875000000001022	0.0	0.0	19.0	0.6333333333333333	500.0	18.35740779360041	-0.03892572191107853	1.4337596893310547
154	-9.562500000000112	3.0	8.0	25.0	0.8333333333333334	500.0	35.56178520998118	-0.042110734848497415	1.2998676300048828
155	-12.450000000000149	0.0	8.0	19.0	0.6333333333333333	500.0	35.86609019755135	-0.02762801536757506	1.4169166088104248
156	-28.425000000000242	0.0	22.0	23.0	0.7666666666666667	500.0	162.26373894574442	-0.008506202170878822	1.4415161609649658
157	-23.200000000000063	0.0	16.0	20.0	0.6666666666666666	500.0	84.91723833139797	0.0018578544293314466	1.3917152881622314
158	-36.96249999999979	0.0	26.0	21.0	0.7	500.0	180.29653095799966	-0.02762518353982246	1.4276165962219238
159	-3.7375000000001672	0.0	4.0	21.0	0.7	500.0	39.60888396191715	-0.031008208236494646	1.4093644618988037
160	-3.050000000000036	0.0	2.0	19.0	0.6333333333333333	500.0	27.862038176228936	-0.03424289673963282	1.4987890720367432
161	-0.32500000000026513	0.0	4.0	24.0	0.8	500.0	43.439416634452485	-0.023808485486339608	1.368147850036621
162	-10.23750000000016	0.0	8.0	21.0	0.7	500.0	52.71768716197835	-0.02968680042697514	1.4065158367156982
163	-9.86249999999997	0.0	8.0	21.0	0.7	500.0	35.54320031060072	-0.023120329127693837	1.3859264850616455
164	-10.08750000000002	0.0	8.0	21.0	0.7	500.0	27.802185083058077	-0.027018478837306667	1.4399652481079102
165	-8.762500000000127	0.0	8.0	22.0	0.7333333333333333	500.0	79.319047008745	-0.0035336574757844626	1.3450820446014404
166	-3.1875000000001	0.0	6.0	24.0	0.8	500.0	22.323634120463783	-0.02037544050579697	1.3257980346679688
167	4.712499999999803	0.0	0.0	23.0	0.7666666666666667	500.0	30.20886468189092	-0.03526497811991285	1.3658599853515625
168	-12.012500000000092	0.0	12.0	24.0	0.8	500.0	73.16473776686	-0.031232598666446357	1.380420207977295
169	1.2999999999998282	1.0	2.0	24.0	0.8	500.0	23.730636097259183	-0.025691139858944875	1.3065032958984375
170	-8.51250000000004	0.0	6.0	20.0	0.6666666666666666	500.0	20.67850833511514	-0.0296961695006966	1.409888505935669
171	-14.73750000000004	0.0	6.0	15.0	0.5	500.0	33.45505795985462	-0.00925153294555242	1.5354371070861816
172	-12.725000000000117	0.0	8.0	19.0	0.6333333333333333	500.0	34.54752373218231	0.010370580189232228	1.4814717769622803
173	0.17499999999993782	0.0	4.0	24.0	0.8	500.0	37.491068498372	-0.03224389405904111	1.3815760612487793
174	1.0999999999999415	4.0	0.0	25.0	0.8333333333333334	500.0	37.738717646036605	-0.0012909090978818086	1.4451744556427002
175	-6.687499999999938	2.0	2.0	19.0	0.6333333333333333	500.0	15.475240991888404	-0.006755886332844781	1.4968018531799316
176	2.0374999999999077	0.0	0.0	21.0	0.7	500.0	24.573499152549182	-0.03286389343405274	1.496607780456543
177	-20.687500000000046	0.0	16.0	22.0	0.7333333333333333	500.0	115.68663081763671	0.0042410054278503966	1.3994958400726318
178	7.437499999999788	0.0	0.0	25.0	0.8333333333333334	500.0	40.48555895800525	-0.052352538940638384	1.3917911052703857
179	3.3749999999998384	0.0	0.0	22.0	0.7333333333333333	500.0	13.111940216424944	-0.04237290119551595	1.4104437828063965
180	0.1499999999999515	0.0	2.0	22.0	0.7333333333333333	500.0	29.573152613045348	-0.03122853452498016	1.4338982105255127
181	-10.025000000000029	0.0	8.0	21.0	0.7	500.0	34.406985459728666	-0.027397741338030863	1.454880714416504
182	0.23749999999996108	0.0	2.0	22.0	0.7333333333333333	500.0	37.460940980129536	-0.03863644551784817	1.411393165588379
183	-4.950000000000087	0.0	4.0	20.0	0.6666666666666666	500.0	36.67924060638137	-0.0322971410629303	1.4468607902526855
184	1.112499999999785	0.0	4.0	25.0	0.8333333333333334	500.0	29.283439233102527	-0.04686319519045487	1.316870927810669
185	-9.700000000000035	0.0	6.0	19.0	0.6333333333333333	500.0	19.64838819760779	-0.011253370658213626	1.4422931671142578
186	-2.925000000000094	0.0	4.0	22.0	0.7333333333333333	500.0	19.85711856598445	-0.030343348641863267	1.3586044311523438
187	-1.8375000000000685	0.0	0.0	18.0	0.6	500.0	12.28093815156655	-0.05036534293697723	1.4929039478302002
188	4.337499999999797	0.0	0.0	23.0	0.7666666666666667	500.0	15.655514668932046	-0.018270956041620278	1.3985803127288818
189	2.6249999999998046	0.0	2.0	24.0	0.8	500.0	24.936647999464892	-0.04838647579994465	1.3619391918182373
190	-17.83750000000012	0.0	14.0	22.0	0.7	500.0	21.22899798837054	0.010145794589969096	1.4257824420928955
191	-14.150000000000043	0.0	10.0	20.0	0.6666666666666666	500.0	54.27635741667807	-0.005318390352295239	1.477522611618042
192	-47.31250000000014	0.0	32.0	20.0	0.6666666666666666	500.0	252.1287119868871	-0.005478482433530424	1.4111640453338623
193	-10.950000000000225	0.0	12.0	25.0	0.8	500.0	60.90562402738345	-0.044614127325162296	1.3395533561706543
194	4.799999999999872	0.0	0.0	23.0	0.7666666666666667	500.0	37.866626739338706	-0.02969538567216163	1.4665772914886475
195	-11.587500000000102	0.0	10.0	22.0	0.7333333333333333	500.0	49.099331988118124	-0.04359868690814004	1.3633368015289307
196	-7.7750000000000625	0.0	8.0	23.0	0.7666666666666667	500.0	50.78555527481546	-0.02585504510482094	1.3474280834197998
197	-13.837500000000148	0.0	8.0	18.0	0.6	500.0	38.3367413532848	-0.033473934579955796	1.4474411010742188
198	-11.375000000000147	0.0	8.0	20.0	0.6666666666666666	500.0	60.55009928197618	-0.017545764969954733	1.4484519958496094
199	-6.949999999999944	0.0	6.0	21.0	0.7	500.0	41.40268032815085	-0.02390441368706783	1.4900109767913818
200	8.224999999999667	0.0	0.0	26.0	0.8666666666666667	500.0	23.39122379668155	-0.050438744075434534	1.3135526180267334
201	-6.062500000000144	0.0	6.0	22.0	0.7333333333333333	500.0	26.591379786085593	-0.02641253299460846	1.359424114227295
202	-1.125000000000099	0.0	2.0	21.0	0.7	500.0	20.03501353129615	-0.009341484200210942	1.4479329586029053
