epoch	reward_pursuer	n_collisions_pursuers_with_obstacles	n_collisions_pursuers_with_pursuers	n_collisions_pursuers_with_evaders	capture_rate	episode_length	loss_value_pursuer	loss_policy_pursuer	epoch_time_s
80	-57.11999999999958	5.0	48.0	1.0	0.0	500.0	38.03111166144552	-0.017193063866967322	2.271883010864258
81	-43.949999999999775	0.0	30.0	2.0	0.0	500.0	30.438179715763518	-0.00793388587033668	2.2666704654693604
82	-53.45999999999971	1.0	46.0	1.0	0.0	500.0	62.749228887316285	-0.009013291169884101	2.2734687328338623
83	-58.21999999999981	1.0	52.0	3.0	0.0	500.0	54.37846012839248	0.0024879467862151216	2.2668638229370117
84	-63.04499999999974	0.0	62.0	2.0	0.0	500.0	102.23384468274068	-0.004418037292058793	2.2677652835845947
85	-47.00999999999995	0.0	34.0	4.0	0.0	500.0	37.20425038813051	-0.01602348326659043	2.2767159938812256
86	-56.51499999999976	0.0	52.0	1.0	0.0	500.0	68.93907258036198	-0.01110190984536952	2.2685863971710205
87	-73.14499999999956	1.0	76.0	4.0	0.0	500.0	111.64770031693867	-0.016720635470756567	2.2698121070861816
88	-54.01999999999975	0.0	46.0	3.0	0.0	500.0	43.05542100065892	-0.01987433363577839	2.2705540657043457
89	-54.529999999999596	1.0	44.0	5.0	0.0	500.0	69.29223410355233	-0.0254854386859674	2.266252279281616
90	-52.26499999999963	0.0	42.0	4.0	0.0	500.0	52.452517137992686	-0.027949083117332754	2.272505283355713
91	-55.734999999999694	0.0	47.0	5.0	0.0	500.0	51.372191201026965	-0.018079802011378546	2.272960662841797
92	-50.28999999999972	0.0	38.0	5.0	0.0	500.0	60.62617752896643	-0.015644143315305774	2.2685534954071045
93	-54.52999999999989	0.0	48.0	2.0	0.0	500.0	60.80924214634449	-0.01996518329308063	2.2678728103637695
94	-47.225000000000016	0.0	36.0	2.0	0.0	500.0	35.61645360166855	-0.014480269162545108	2.274622917175293
95	-54.389999999999645	0.0	46.0	4.0	0.0	500.0	60.804454332083516	-0.017657554905459876	2.270036458969116
96	-48.12999999999973	0.0	36.0	3.0	0.0	500.0	24.437556981499633	-0.0186612194518015	2.2718398571014404
97	-56.61999999999986	0.0	50.0	4.0	0.0	500.0	84.97815076126324	-0.009590003839589646	2.271674394607544
98	-64.14499999999961	0.0	62.0	4.0	0.0	500.0	152.77009723301484	-0.0010435527390362225	2.268967390060425
99	-42.669999999999725	0.0	26.0	4.0	0.0	500.0	33.03141614627126	-0.019692311008424786	2.2657389640808105
100	-40.56999999999995	0.0	22.0	5.0	0.0	500.0	25.304256284470405	-0.02806309729366483	2.3199734687805176
101	-45.234999999999665	0.0	34.0	0.0	0.0	500.0	57.71913096551985	-0.0248253023334796	2.2688515186309814
102	-47.4199999999999	0.0	36.0	2.0	0.0	500.0	35.816506358154	-0.014793109079333821	2.2696731090545654
103	-59.75999999999953	0.0	56.0	3.0	0.0	500.0	76.44826968692924	-0.013952436764469634	2.2707629203796387
104	-49.01499999999969	0.0	36.0	5.0	0.0	500.0	47.93832550659692	-0.021870270748516614	2.2535645961761475
105	-52.92499999999981	0.0	42.0	6.0	0.0	500.0	51.858082482458364	-0.01591462554691662	2.2491517066955566
106	-48.32999999999993	0.0	38.0	2.0	0.0	500.0	50.815137638672304	-0.01196437332360453	2.2544808387756348
107	-54.244999999999536	0.0	42.0	8.0	0.0	500.0	72.12719195877759	-0.0012020326734151184	2.249938726425171
108	-40.914999999999985	0.0	24.0	3.0	0.0	500.0	23.971871520458347	-0.01835427912980398	2.2512307167053223
109	-47.494999999999685	0.0	34.0	4.0	0.0	500.0	33.06996276807347	-0.02172175913774245	2.256664991378784
110	-38.47499999999989	0.0	22.0	1.0	0.0	500.0	24.1401422275293	-0.03206659117398366	2.2482428550720215
111	-48.0649999999998	3.0	34.0	2.0	0.0	500.0	43.27313060805762	-0.01834353602100037	2.262289047241211
112	-37.35000000000017	0.0	18.0	4.0	0.0	500.0	22.96828304873989	-0.023108723464067858	2.2721495628356934
113	-49.37499999999988	0.0	40.0	1.0	0.0	500.0	37.30512269414134	-0.015725031447987686	2.2630364894866943
114	-42.649999999999785	0.0	24.0	7.0	0.0	500.0	27.973870846129028	-0.03215327357169066	2.2706449031829834
115	-46.34499999999988	0.0	34.0	2.0	0.0	500.0	42.039481569818	-0.0013031053452740992	2.267371892929077
116	-51.4299999999999	0.0	38.0	7.0	0.0	500.0	93.95628815506082	-0.01752597926210558	2.265127182006836
117	-62.15499999999958	0.0	62.0	0.0	0.0	500.0	117.05012059641533	-0.006592114959992677	2.3005259037017822
118	-38.60499999999996	0.0	22.0	1.0	0.0	500.0	27.208288854903678	-0.03144260067227605	2.2678415775299072
119	-52.21999999999972	0.0	42.0	4.0	0.0	500.0	75.44572243263957	-0.022374619653506518	2.2655234336853027
120	-39.56999999999999	0.0	24.0	1.0	0.0	500.0	40.66017876287991	-0.02621573666372333	2.268339157104492
121	-34.29000000000012	0.0	14.0	2.0	0.0	500.0	31.61915225560157	-0.03143350987947065	2.2698709964752197
122	-39.000000000000114	0.0	18.0	6.0	0.0	500.0	31.013236578497477	-0.016048937791532596	2.2718522548675537
123	-38.584999999999965	0.0	20.0	3.0	0.0	500.0	18.045739351861222	-0.0323502696319912	2.2709102630615234
124	-29.000000000000245	0.0	6.0	1.0	0.0	500.0	12.066969589633375	-0.048143543997320015	2.2730712890625
125	-36.93500000000004	0.0	16.0	5.0	0.0	500.0	25.820549570674793	-0.02703831909242274	2.2491748332977295
126	-32.36000000000026	0.0	12.0	1.0	0.0	500.0	16.272771099636863	-0.030117698146508373	2.2664811611175537
127	-28.935000000000255	0.0	6.0	1.0	0.0	500.0	5.95814168353113	-0.032240497926172985	2.276818037033081
128	-44.43999999999967	0.0	26.0	7.0	0.0	500.0	28.545381623741847	-0.022218356162325866	2.271195650100708
129	-34.575000000000124	0.0	12.0	5.0	0.0	500.0	14.430034520645318	-0.02449192649154419	2.273996591567993
130	-32.99500000000022	0.0	12.0	2.0	0.0	500.0	9.902210149164343	-0.023214351579033718	2.3099396228790283
131	-35.675000000000246	0.0	14.0	5.0	0.0	500.0	11.499697826399585	-0.02198968149523417	2.2739200592041016
132	-36.5	0.0	16.0	4.0	0.0	500.0	13.428069665470662	-0.03095726085496649	2.278064250946045
133	-33.67000000000017	0.0	14.0	2.0	0.0	500.0	13.54282185470789	-0.03383317662256288	2.282682180404663
134	-34.985000000000056	0.0	14.0	3.0	0.0	500.0	15.080747174858635	-0.02139116866464367	2.28023362159729
135	-31.3100000000003	0.0	10.0	1.0	0.0	500.0	4.714381846414194	-0.033907998607573826	2.2717478275299072
136	-43.014999999999915	0.0	26.0	5.0	0.0	500.0	39.45913220848066	-0.02462630697168571	2.266606092453003
137	-35.0150000000001	0.0	12.0	6.0	0.0	500.0	16.844699542867968	-0.028190532675141777	2.294604539871216
138	-27.945000000000256	0.0	4.0	2.0	0.0	500.0	5.679502397035297	-0.03599244516313026	2.269341468811035
139	-29.710000000000218	0.0	8.0	0.0	0.0	500.0	9.189075609932027	-0.03388394633890881	2.273252248764038
140	-39.85499999999996	0.0	24.0	1.0	0.0	500.0	26.438967835791438	-0.030337330420766206	2.275240421295166
141	-28.775000000000208	0.0	6.0	1.0	0.0	500.0	5.31941466240103	-0.02247005742725629	2.2717173099517822
142	-38.115000000000215	0.0	16.0	7.0	0.0	500.0	22.82910593454717	-0.020819367976316696	2.355992555618286
143	-36.794999999999995	0.0	20.0	0.0	0.0	500.0	29.654884575138293	-0.008002449890652201	2.272289752960205
144	-35.17000000000011	0.0	14.0	4.0	0.0	500.0	32.14861711511215	-0.008759922417446114	2.3297393321990967
145	-29.59000000000024	0.0	4.0	4.0	0.0	500.0	10.261507551887997	-0.041694617490036334	2.273132085800171
146	-38.35999999999993	0.0	20.0	3.0	0.0	500.0	50.51987259882208	-0.015171185958891215	2.275233030319214
147	-25.685000000000187	0.0	2.0	0.0	0.0	500.0	4.688024217190477	-0.05458041228784271	2.265939712524414
148	-36.47500000000007	0.0	14.0	6.0	0.0	500.0	28.14918483180908	-0.024799272170270514	2.2671446800231934
149	-28.14000000000027	0.0	4.0	2.0	0.0	500.0	5.983198028761368	-0.04240475427958589	2.2547531127929688
150	-33.720000000000155	0.0	12.0	3.0	0.0	500.0	11.328938790243305	-0.036582250461406826	2.2554922103881836
151	-35.120000000000154	0.0	12.0	6.0	0.0	500.0	13.922035743760574	-0.03579144420120657	2.2553324699401855
152	-29.71000000000022	0.0	8.0	0.0	0.0	500.0	11.35982978388532	-0.02022608963730615	2.263500928878784
153	-33.60500000000027	0.0	10.0	5.0	0.0	500.0	11.901389077429307	-0.005268549493010608	2.259645938873291
154	-30.750000000000288	1.0	8.0	1.0	0.0	500.0	3.700680376477815	-0.01967913959445052	2.257809638977051
155	-32.39500000000029	0.0	10.0	3.0	0.0	500.0	8.555193493704527	-0.024534466310983397	2.2670552730560303
156	-36.01000000000014	0.0	16.0	3.0	0.0	500.0	10.225803618861768	-0.010715097638028668	2.2739880084991455
157	-28.400000000000222	0.0	6.0	0.0	0.0	500.0	4.591499244718713	-0.026884984554874893	2.323545217514038
158	-27.89500000000025	0.0	4.0	1.0	0.0	500.0	2.9950397915572378	-0.03880843419689722	2.2721917629241943
