epoch	reward_evader	n_collisions_evaders_with_obstacles	n_collisions_evaders_with_pursuers	n_collisions_evaders_with_evaders	capture_rate	episode_length	loss_value_evader	loss_policy_evader	epoch_time_s
109	-36.64309090055353	0.0	30.0	0.5	1.0	102.0	9.708365453240187	-0.07626957823297673	1.788794994354248
110	-37.377016492750045	0.0	30.0	5.333333333333333	1.0	109.66666666666667	16.92206861105815	-0.05967684039698064	1.800950527191162
111	-37.00550990431158	0.0	30.0	3.5	1.0	105.5	24.815003514880217	0.06220891148917532	1.7887520790100098
112	-35.9263658799061	0.0	30.0	0.0	1.0	91.0	10.806009690683627	-0.14577292586409143	1.597388505935669
113	-37.10313477943026	0.0	30.0	2.6666666666666665	1.0	91.66666666666667	13.663894923717445	-0.016038822761918464	1.7617621421813965
114	-30.54255926282409	0.0	30.0	1.0	1.0	198.5	8.919563146472756	-0.10692895191389165	1.6426751613616943
115	-36.01725736400633	0.0	30.0	1.3333333333333333	1.0	100.33333333333333	12.986274695319457	-0.027373754154039632	1.7979531288146973
116	-32.31799979747342	0.0	30.0	2.0	1.0	148.0	8.19394430772486	-0.010383577199890574	1.5781440734863281
117	-5.573401731045963	0.0	29.0	0.0	0.9666666666666667	500.0	16.60603684765104	-0.011584252820921319	1.5016043186187744
118	-36.684499116544664	0.0	30.0	2.0	1.0	86.0	188.95613917238555	0.05344120912764385	1.7120075225830078
119	-39.258224007039615	0.0	30.0	4.0	1.0	101.0	22.788104792314645	-0.13516260569522415	1.8675403594970703
120	-35.39288069544915	0.0	30.0	0.6666666666666666	1.0	102.66666666666667	9.656800026004206	-0.09985232278365679	1.7325081825256348
121	-38.005354552148546	0.0	30.0	2.0	1.0	95.0	13.027128295783706	-0.006700934441528707	1.688234567642212
122	-25.47269259642535	0.0	30.0	0.0	1.0	308.0	9.353757697830929	0.05484973403899351	1.630676031112671
123	-40.860665360436	0.0	30.0	9.5	1.0	115.25	107.91606260262336	0.04474558070829765	1.8271865844726562
124	-34.88692219558191	0.0	30.0	0.6666666666666666	1.0	119.66666666666667	7.941176739256354	-0.07294406140074586	1.7267258167266846
125	-37.01867248334234	0.25	30.0	1.5	1.0	79.5	9.082124261750625	-0.12342242124475422	1.7969064712524414
126	-35.09435255872589	0.0	30.0	0.5	1.0	106.75	16.539397782930045	-0.07260647864983442	1.8316521644592285
127	-40.456136178890645	0.0	30.0	2.0	1.0	94.2	20.373926848461352	0.04790277978815417	1.8678643703460693
128	-33.642800140491055	0.0	30.0	1.3333333333333333	1.0	146.66666666666666	8.890114687923393	-0.019793250543822947	1.7953765392303467
129	-36.496286918806526	0.0	30.0	0.0	1.0	75.0	7.1000392819702824	-0.2245410133248635	1.6027441024780273
130	-37.75025597628728	0.0	30.0	1.0	1.0	59.5	12.481342911840096	-0.14843649007901719	1.6944880485534668
131	-35.08852075158979	0.0	30.0	1.0	1.0	114.5	9.187941752185756	0.024524888962046756	1.866391897201538
132	-3.3860262538378985	0.0	28.0	8.0	0.9333333333333333	500.0	17.6100087654994	-0.19832158319919596	1.516484260559082
133	-33.43788782797246	0.0	30.0	1.0	1.0	142.0	11.901297121830652	0.20797056915777137	1.6826605796813965
